epoch	metric	loss	lr	time	iter
20	0.13768	0.70164	0.20000	5.9	260
40	0.48284	0.40188	0.20000	11.8	520
60	0.55199	0.28661	0.20000	17.7	780
80	0.69992	0.22916	0.20000	23.6	1040
100	0.72893	0.18043	0.20000	29.5	1300
120	0.75469	0.16589	0.20000	35.4	1560
140	0.78038	0.14754	0.20000	41.3	1820
160	0.78933	0.13893	0.20000	47.2	2080
180	0.79005	0.13863	0.20000	53.1	2340
200	0.79866	0.13236	0.20000	59.1	2600
220	0.80641	0.12111	0.20000	64.9	2860
240	0.79975	0.11700	0.20000	70.8	3120
260	0.80482	0.12219	0.20000	76.7	3380
280	0.80121	0.11991	0.20000	82.6	3640
300	0.81459	0.12273	0.20000	88.6	3900
320	0.82005	0.10970	0.20000	94.4	4160
340	0.81555	0.11123	0.20000	100.3	4420
360	0.81372	0.11719	0.20000	106.3	4680
380	0.82144	0.10493	0.20000	112.1	4940
400	0.81844	0.11092	0.20000	118.1	5200
420	0.82833	0.10451	0.10000	123.9	5460
440	0.83227	0.09960	0.10000	129.9	5720
460	0.83382	0.09468	0.10000	135.7	5980
480	0.82956	0.09473	0.10000	141.7	6240
500	0.83409	0.09896	0.10000	147.6	6500
520	0.83223	0.09594	0.10000	153.4	6760
540	0.83342	0.09315	0.10000	159.3	7020
560	0.83360	0.09661	0.10000	165.3	7280
