epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6483	0.0000	2376	4014.11s	364.84s	343.42s	708.26s
19	0.7419	0.0000	5016	8019.26s	365.77s	343.08s	708.86s
29	0.7795	0.0000	7656	12029.51s	368.42s	343.25s	711.67s
39	0.7891	0.0000	10296	16033.00s	365.19s	343.07s	708.26s
49	0.8062	0.0000	12936	20042.23s	365.62s	343.02s	708.64s
59	0.7972	0.0000	15576	24052.27s	365.51s	343.26s	708.77s
69	0.8088	0.0000	18216	28068.11s	365.53s	343.37s	708.90s
79	0.8193	0.0000	20856	32076.89s	365.91s	343.14s	709.05s
89	0.8206	0.0000	23496	36083.37s	366.02s	342.90s	708.92s
98	0.8208	0.0000	25872	39727.21s	365.36s	343.16s	708.52s
107	0.8257	0.0000	28248	43372.12s	366.69s	343.19s	709.88s
116	0.8270	0.0000	30624	47017.58s	370.45s	342.93s	713.38s
125	0.8285	0.0000	33000	50671.87s	366.43s	343.18s	709.61s
134	0.8336	0.0000	35376	54324.42s	365.73s	343.14s	708.87s
143	0.8357	0.0000	37752	57965.36s	365.71s	342.88s	708.59s
152	0.8386	0.0000	40128	61607.84s	365.42s	342.95s	708.38s
160	0.8426	0.0000	42240	64887.74s	365.23s	342.65s	707.88s
168	0.8398	0.0000	44352	68164.72s	365.13s	342.57s	707.70s
176	0.8445	0.0000	46464	71436.59s	367.37s	342.88s	710.26s
184	0.8467	0.0000	48576	74709.01s	365.47s	342.83s	708.31s
192	0.8485	0.0000	50688	77982.06s	365.18s	342.90s	708.09s
200	0.8503	0.0000	52800	81252.38s	365.12s	342.72s	707.84s
207	0.8509	0.0000	54648	84157.53s	365.01s	342.31s	707.33s
214	0.8513	0.0000	56496	87060.99s	364.39s	342.27s	706.66s
221	0.8520	0.0000	58344	89964.05s	366.13s	342.42s	708.55s
228	0.8547	0.0000	60192	92869.40s	366.35s	342.43s	708.79s
234	0.8558	0.0000	61776	95408.27s	364.57s	342.36s	706.93s
240	0.8573	0.0000	63360	97948.12s	364.75s	342.47s	707.22s
246	0.8566	0.0000	64944	100490.10s	365.46s	342.74s	708.21s
252	0.8570	0.0000	66528	103027.90s	365.97s	342.73s	708.70s
257	0.8576	0.0000	67848	105201.41s	365.82s	343.08s	708.90s
262	0.8584	0.0000	69168	107376.91s	366.02s	342.96s	708.98s
267	0.8591	0.0000	70488	109552.02s	365.98s	343.09s	709.08s
271	0.8585	0.0000	71544	111362.31s	365.84s	343.10s	708.95s
275	0.8591	0.0000	72600	113174.64s	365.71s	343.24s	708.96s
279	0.8590	0.0000	73656	114987.31s	365.73s	343.27s	709.00s
282	0.8592	0.0000	74448	116432.84s	367.25s	343.10s	710.36s
285	0.8593	0.0000	75240	117876.38s	366.42s	343.31s	709.73s
288	0.8594	0.0000	76032	119319.16s	365.68s	343.21s	708.90s
290	0.8594	0.0000	76560	120402.03s	370.08s	341.87s	711.96s
292	0.8594	0.0000	77088	121473.25s	363.82s	341.63s	705.45s
294	0.8594	0.0000	77616	122547.19s	367.45s	341.56s	709.01s
296	0.8594	0.0000	78144	123620.52s	366.71s	341.48s	708.19s
297	0.8594	0.0000	78408	124326.21s	363.87s	341.32s	705.18s
298	0.8594	0.0000	78672	125037.38s	369.11s	341.53s	710.65s
299	0.8594	0.0000	78936	125743.81s	364.53s	341.39s	705.92s
